,index,smiles,comp.ID,CAS-RN,formula,mass,name,line,phases
335,336,CCCCCCCCCOC1=CC(C(N)=O)=CC(OCCCCCCCCC)=C1OCCCCCCCCC,63243.0,156239-66-6,C34H61N1O4,547.852,"3,4,5-Tris-nonyloxy-benzamide",C9H19-O-1/2/6Ph4-CONH,Cr 81 D 88 is
336,337,CCCCCCCCCCOC1=CC(C(N)=O)=CC(OCCCCCCCCCC)=C1OCCCCCCCCCC,63244.0,,C37H67N1O4,589.932,"3,4,5-Tris-decyloxy-benzamide",C10H21-O-1/2/6Ph4-CONH,Cr 58 D 85 is
337,338,CCCCCCCCCCCOC1=CC(C(N)=O)=CC(OCCCCCCCCCCC)=C1OCCCCCCCCCCC,63245.0,,C40H73N1O4,632.012,"3,4,5-Tris-undecyloxy-benzamide",C11H23-O-1/2/6Ph4-CONH,Cr 57 D 81 is
338,339,CCCCCCCCCCCCOC1=CC(C(N)=O)=CC(OCCCCCCCCCCCC)=C1OCCCCCCCCCCCC,63246.0,156239-69-9,C43H79N1O4,674.092,"3,4,5-Tris-dodecyloxy-benzamide",C12H25-O-1/2/6Ph4-CONH,Cr 58 D 81 is
339,340,CCCCCCCCCCCCCCOC1=CC(C(N)=O)=CC(OCCCCCCCCCCCCCC)=C1OCCCCCCCCCCCCCC,63247.0,,C49H91N1O4,758.251,"3,4,5-Tris-tetradecyloxy-benzamide",C14H29-O-1/2/6Ph4-CONH,Cr 79 D 80 is
345,346,CCCCCCCCCCCCOC1=CC(N#C~[Cu]Cl)=CC(OCCCCCCCCCCCC)=C1OCCCCCCCCCCCC,80746.0,,C43H77Cl1Cu1N1O3,755.075,,C12H25-O-1/2/6Ph4-NC-Cu-Cl,Cr 18.1 D 93.8 is
1222,1223,CCOC(=O)C1=CC=C2C3=C1/C(C(=O)OCC)=C\C=C/3C1=CC=C(C(=O)OCC)C3=C1/C2=C\C=C/3C(=O)OCC,84430.0,,C32H28O8,540.56,,C2H5-OOC-R1456-COO-C2H5,Cr 244 D 313 is
1223,1224,CCCOC(=O)C1=CC=C2C3=C1/C(C(=O)OCCC)=C\C=C/3C1=CC=C(C(=O)OCCC)C3=C1/C2=C\C=C/3C(=O)OCCC,84431.0,,C36H36O8,596.666,,C3H7-OOC-R1456-COO-C3H7,Cr 193 D 287 is
1224,1225,CCCCOC(=O)C1=CC=C2C3=C1/C(C(=O)OCCCC)=C\C=C/3C1=CC=C(C(=O)OCCCC)C3=C1/C2=C\C=C/3C(=O)OCCCC,70592.0,,C40H44O8,652.773,"Perylene-3,4,9,10-tetracarboxylicacidtetrabutylester",C4H9-OOC-R1456-COO-C4H9,Cr 161 D 242 is
1225,1226,CCCCCOC(=O)C1=CC=C2C3=C1/C(C(=O)OCCCCC)=C\C=C/3C1=CC=C(C(=O)OCCCCC)C3=C1/C2=C\C=C/3C(=O)OCCCCC,70593.0,,C44H52O8,708.879,"Perylene-3,4,9,10-tetracarboxylicacidtetrapentylester",C5H11-OOC-R1456-COO-C5H11,Cr 114 D 203 is
1226,1227,CCCCCCOC(=O)C1=CC=C2C3=C1/C(C(=O)OCCCCCC)=C\C=C/3C1=CC=C(C(=O)OCCCCCC)C3=C1/C2=C\C=C/3C(=O)OCCCCCC,84432.0,,C48H60O8,764.985,,C6H13-OOC-R1456-COO-C6H13,Cr 72 D 177 is
1227,1228,CCCCCCCOC(=O)C1=CC=C2C3=C1/C(C(=O)OCCCCCCC)=C\C=C/3C1=CC=C(C(=O)OCCCCCCC)C3=C1/C2=C\C=C/3C(=O)OCCCCCCC,70594.0,,C52H68O8,821.092,"Perylene-3,4,9,10-tetracarboxylicacidtetraheptylester",C7H15-OOC-R1456-COO-C7H15,Cr 63 D 152 is
1228,1229,CCCCCCCCOC(=O)C1=CC=C2C3=C1/C(C(=O)OCCCCCCCC)=C\C=C/3C1=CC=C(C(=O)OCCCCCCCC)C3=C1/C2=C\C=C/3C(=O)OCCCCCCCC,84433.0,,C56H76O8,877.198,,C8H17-OOC-R1456-COO-C8H17,Cr 62 D 132 is
1229,1230,CCCCCCCCCOC(=O)C1=CC=C2C3=C1/C(C(=O)OCCCCCCCCC)=C\C=C/3C1=CC=C(C(=O)OCCCCCCCCC)C3=C1/C2=C\C=C/3C(=O)OCCCCCCCCC,84434.0,,C60H84O8,933.304,,C9H19-OOC-R1456-COO-C9H19,Cr 60 D 100 is
1267,1268,CCCCCC1=S~[Ni]2(S1)SC(CCCCC)=S~2,65269.0,,C12H22Ni1S4,353.256,,C5H11-R646-C5H11,Cr 79 D 43.1 is
1268,1269,CCCCC(CC)C1=S~[Ni]2(S1)SC(C(CC)CCCC)=S~2,65270.0,,C16H30Ni1S4,409.363,,C2H5-/-C2H4)CH-R646-CH(C2H4-/-C2H5,Cr 124 D 151 is
9914,9915,CCCCOC1=CC=C(N2=CC3=CC=C(OCC)C=C3O[Cu]~23OC2=C\C(OCC)=C/C=C\2C=N~3C2=CC=C(OCCCC)C=C2)C=C1,6599.0,,C38H44Cu1N2O6,688.312,,C2H5-O-SchiffCu-Ph-O-C4H9,Cr 165 D 170 is
9917,9918,CCCCCOC1=CC=C(N2=CC3=CC=C(OCC)C=C3O[Cu]~23OC2=C\C(OCC)=C/C=C\2C=N~3C2=CC=C(OCCCCC)C=C2)C=C1,6602.0,,C40H48Cu1N2O6,716.365,,C2H5-O-SchiffCu-Ph-O-C5H11,Cr 155.2 D 174.1 is
9920,9921,CCCCCCOC1=CC=C(N2=CC3=CC=C(OCC)C=C3O[Cu]~23OC2=C\C(OCC)=C/C=C\2C=N~3C2=CC=C(OCCCCCC)C=C2)C=C1,6605.0,,C42H52Cu1N2O6,744.418,,C2H5-O-SchiffCu-Ph-O-C6H13,Cr 148.9 D 179 is
9925,9926,CCCCCCCOC1=CC=C(N2=CC3=CC=C(OCC)C=C3O[Cu]~23OC2=C\C(OCC)=C/C=C\2C=N~3C2=CC=C(OCCCCCCC)C=C2)C=C1,6609.0,,C44H56Cu1N2O6,772.471,,C2H5-O-SchiffCu-Ph-O-C7H15,Cr 135.6 D 170.8 is
9928,9929,CCCCCCCCOC1=CC=C(N2=CC3=CC=C(OCC)C=C3O[Cu]~23OC2=C\C(OCC)=C/C=C\2C=N~3C2=CC=C(OCCCCCCCC)C=C2)C=C1,6612.0,,C46H60Cu1N2O6,800.524,,C2H5-O-SchiffCu-Ph-O-C8H17,Cr 131.7 D 179.1 is
30523,30524,CCCCCCCCCCCCOC1=C(OCCCCCCCCCCCC)C=C(/C=N/NC2=C([N+](=O)[O-])C=C([N+](=O)[O-])C=C2)C=C1,21012.0,,C37H58N4O6,654.88,,O2N-PhNO2-NH-N=CH-4Ph1/2-O-C12H25,Cr 130 D 94 is
30524,30525,CCCCCCCCCCCCCCCCOC1=C(OCCCCCCCCCCCCCCCC)C=C(/C=N/NC2=C([N+](=O)[O-])C=C([N+](=O)[O-])C=C2)C=C1,21013.0,,C45H74N4O6,767.092,,O2N-PhNO2-NH-N=CH-4Ph1/2-O-C16H33,Cr 124 D 130 is
30525,30526,CCCCCCCCCCCCCCCCOC1=C(OCCCCCCCCCCCCCCCC)C=C(/C=C/C=N/NC2=C([N+](=O)[O-])C=C([N+](=O)[O-])C=C2)C=C1,21014.0,,C47H76N4O6,793.13,,O2N-PhNO2-NH-N=CH-CH=CH-4Ph1/2-O-C16H33,Cr 115 D 85 is
30562,30563,CCCCCCCCOC1=CC(/C=N/NC2=C([N+](=O)[O-])C=C([N+](=O)[O-])C=C2)=CC(OCCCCCCCC)=C1OCCCCCCCC,21016.0,,C37H58N4O7,670.879,,O2N-PhNO2-NH-N=CH-4Ph1/2/6-O-C8H17,Cr 96 D 136 is
30563,30564,CCCCCCCCCCCCOC1=CC(/C=N/NC2=C([N+](=O)[O-])C=C([N+](=O)[O-])C=C2)=CC(OCCCCCCCCCCCC)=C1OCCCCCCCCCCCC,21017.0,,C49H82N4O7,839.198,,O2N-PhNO2-NH-N=CH-4Ph1/2/6-O-C12H25,Cr 97 D 137 is
30564,30565,CCCCCCCCCCCCCCCCOC1=CC(/C=N/NC2=C([N+](=O)[O-])C=C([N+](=O)[O-])C=C2)=CC(OCCCCCCCCCCCCCCCC)=C1OCCCCCCCCCCCCCCCC,21018.0,,C61H106N4O7,1007.517,,O2N-PhNO2-NH-N=CH-4Ph1/2/6-O-C16H33,Cr 106 D 134 is
35011,35012,CCCCCCCCCCCCCCCCC1=CC=C(C2=CC=C(C3=O~[Cu]4(OC(C)=C3)OC(C)=CC(C3=CC=C(C5=CC=C(CCCCCCCCCCCCCCCC)C=C5)C=C3)=O~4)C=C2)C=C1,24045.0,,C64H90Cu1O4,986.943,,C16H33-Ph-Ph-R601-CH3,Cr 129.5 D 172.5 is
35018,35019,CCCCCCCCCOC1=CC=C(C2=CC=C(C3=O~[Cu]4(OC(C)=C3)OC(C)=CC(C3=CC=C(C5=CC=C(OCCCCCCCCC)C=C5)C=C3)=O~4)C=C2)C=C1,63328.0,,C50H62Cu1O6,822.57,,C9H19-O-Ph-Ph-R601-CH3,Cr 193 D 213.2 is
35019,35020,CCCCCCCCCCOC1=CC=C(C2=CC=C(C3=O~[Cu]4(OC(C)=C3)OC(C)=CC(C3=CC=C(C5=CC=C(OCCCCCCCCCC)C=C5)C=C3)=O~4)C=C2)C=C1,63329.0,,C52H66Cu1O6,850.623,,C10H21-O-Ph-Ph-R601-CH3,Cr 161.4 D 211.8 is
35023,35024,CCCCCCCCCCCCOC1=CC=C(C2=CC=C(C3=O~[Cu]4(OC(C)=C3)OC(C)=CC(C3=CC=C(C5=CC=C(OCCCCCCCCCCCC)C=C5)C=C3)=O~4)C=C2)C=C1,61589.0,,C56H74Cu1O6,906.729,,C12H25-O-Ph-Ph-R601-CH3,Cr 135.1 D 208.8 is
35029,35030,CCCCCCCCCCCCCCCCOC1=CC=C(C2=CC=C(C3=O~[Cu]4(OC(C)=C3)OC(C)=CC(C3=CC=C(C5=CC=C(OCCCCCCCCCCCCCCCC)C=C5)C=C3)=O~4)C=C2)C=C1,62905.0,,C64H90Cu1O6,1018.942,,C16H33-O-Ph-Ph-R601-CH3,Cr 127 D 199.9 is
35030,35031,CCCCCCCCCCCCCCCCCCOC1=CC=C(C2=CC=C(C3=O~[Cu]4(OC(C)=C3)OC(C)=CC(C3=CC=C(C5=CC=C(OCCCCCCCCCCCCCCCCCC)C=C5)C=C3)=O~4)C=C2)C=C1,63331.0,,C68H98Cu1O6,1075.048,,C18H37-O-Ph-Ph-R601-CH3,Cr 130.9 D 196.5 is
35743,35744,CCCCCCOC1=CC(C2=O~[Cu]3(OC(C4=CC=C(OC(C)CCCCCC)C=C4)=C2)OC(C2=CC=C(OC(C)CCCCCC)C=C2)=CC(C2=CC(OCCCCCC)=C(OCCCCCC)C(OCCCCCC)=C2)=O~3)=CC(OCCCCCC)=C1OCCCCCC,111388.0,,C82H126Cu1O12,1367.417,,C6H13-O-1/2/6Ph4-R601-Ph-O-CHMe-C6H13,Cr 73.1 D 82.2 is
35745,35746,CCCCCCCCOC1=CC(C2=O~[Cu]3(OC(C4=CC=C(OC(C)CCCCCC)C=C4)=C2)OC(C2=CC=C(OC(C)CCCCCC)C=C2)=CC(C2=CC(OCCCCCCCC)=C(OCCCCCCCC)C(OCCCCCCCC)=C2)=O~3)=CC(OCCCCCCCC)=C1OCCCCCCCC,111390.0,,C94H150Cu1O12,1535.736,,C8H17-O-1/2/6Ph4-R601-Ph-O-CHMe-C6H13,Cr 48.5 D 68.3 is
35746,35747,CCCCCCCCCCCCOC1=CC(C2=O~[Cu]3(OC(C4=CC=C(OC(C)CCCCCC)C=C4)=C2)OC(C2=CC=C(OC(C)CCCCCC)C=C2)=CC(C2=CC(OCCCCCCCCCCCC)=C(OCCCCCCCCCCCC)C(OCCCCCCCCCCCC)=C2)=O~3)=CC(OCCCCCCCCCCCC)=C1OCCCCCCCCCCCC,111391.0,,C118H198Cu1O12,1872.374,,C12H25-O-1/2/6Ph4-R601-Ph-O-CHMe-C6H13,Cr 62.9 D 68.3 is
37474,37475,CCCCCCCCCCCCOC1=CC(C=C2C(=O)N3C(=O)C(=CC4=CC(OCCCCCCCCCCCC)=C(OCCCCCCCCCCCC)C(OCCCCCCCCCCCC)=C4)C(=O)N3C2=O)=CC(OCCCCCCCCCCCC)=C1OCCCCCCCCCCCC,60352.0,,C92H156N2O10,1450.23,,C12H25-O-1/2/6Ph4-R1402-4Ph1/2/6-O-C12H25,Cr 64 D 133 is
49372,49373,CCCCCCCCCCOC1=CC(C(=O)OC2=CC=C3C=N(C4=CC(OCCCCCCCCCC)=C(OCCCCCCCCCC)C(OCCCCCCCCCC)=C4)~[Cu]4(OC3=C2)OC2=C\C(OC(=O)C3=CC(OCCCCCCCCCC)=C(OCCCCCCCCCC)C(OCCCCCCCCCC)=C3)=C/C=C\2C=N~4C2=CC(OCCCCCCCCCC)=C(OCCCCCCCCCC)C(OCCCCCCCCCC)=C2)=CC(OCCCCCCCCCC)=C1OCCCCCCCCCC,84575.0,,C160H268Cu1N2O18,2571.389,,C10H21-O-1/2/6Ph4-COO-SchiffCu-4Ph1/2/6-O-C10H21,Cr 1.8 D 55.1 is
49373,49374,CCCCCCCCCCOC1=CC(C(=O)OC2=CC=C3C=N(C4=CC(OCCCCCCCCCC)=C(OCCCCCCCCCC)C(OCCCCCCCCCC)=C4)~[Pd]4(OC3=C2)OC2=C\C(OC(=O)C3=CC(OCCCCCCCCCC)=C(OCCCCCCCCCC)C(OCCCCCCCCCC)=C3)=C/C=C\2C=N~4C2=CC(OCCCCCCCCCC)=C(OCCCCCCCCCC)C(OCCCCCCCCCC)=C2)=CC(OCCCCCCCCCC)=C1OCCCCCCCCCC,84576.0,,C160H268N2O18Pd1,2614.243,,C10H21-O-1/2/6Ph4-COO-SchiffPd-4Ph1/2/6-O-C10H21,Cr 45.9 D 65.3 is
49375,49376,CCCCCCCCCCOC1=CC(C(=O)OC2=CC=C3C=N(C4=C(OCCCCCCCCCC)C(OCCCCCCCCCC)=C(OCCCCCCCCCC)C=C4)~[Pd]4(OC3=C2)OC2=C\C(OC(=O)C3=CC(OCCCCCCCCCC)=C(OCCCCCCCCCC)C(OCCCCCCCCCC)=C3)=C/C=C\2C=N~4C2=C(OCCCCCCCCCC)C(OCCCCCCCCCC)=C(OCCCCCCCCCC)C=C2)=CC(OCCCCCCCCCC)=C1OCCCCCCCCCC,84577.0,,C160H268N2O18Pd1,2614.243,,C10H21-O-1/2/6Ph4-COO-SchiffPd-4Ph1/2/3-O-C10H21,Cr 33.9 D 28.2 is
58330,58331,CCCCCCCCCCCCOC1=CC=C(/N=N/C2=CC=C(NC3=NC(NC4=CC=C(/N=N/C5=CC=C(OCCCCCCCCCCCC)C=C5)C=C4)=NC(OC)=N3)C=C2)C=C1,72632.0,,C52H71N9O3,870.179,"N,N'-Bis-[4-(4-dodecyloxy-phenylazo)-phenyl]-6-methoxy-[1,3,5]triazine-2,4-diamine",C12H25-O-Ph-N=N-Ph-NH-R1278-O-CH3,Cr 159.6 D 203.8 is
60445,60446,CCCCCCCCCCOC1=CC(/N=C/C2=C(O)C=C(OC(=O)C3=CC(OCCCCCCCCCC)=C(OCCCCCCCCCC)C(OCCCCCCCCCC)=C3)C=C2)=CC(OCCCCCCCCCC)=C1OCCCCCCCCCC,84567.0,,C80H135N1O9,1254.929,,C10H21-O-1/2/6Ph4-COO-PhOH-CH=N-4Ph1/2/6-O-C10H21,Cr 33.1 D 8.9 is
60448,60449,CCCCCCCCCCOC1=CC(C(=O)N2CCN(C(=O)C3=CC(OCCCCCCCCCC)=C(OCCCCCCCCCC)C(OCCCCCCCCCC)=C3)CC2)=CC(OCCCCCCCCCC)=C1OCCCCCCCCCC,41117.0,,C78H138N2O8,1231.939,"[4-(3,4,5-Tris-decyloxy-benzoyl)-piperazin-1-yl]-(3,4,5-tris-decyloxy-phenyl)-methanone",C10H21-O-1/2/6Ph4-CO-R33-CO-4Ph1/2/6-O-C10H21,Cr 60.5 D 15 is
60449,60450,CCCCCCCCCCCCOC1=CC(C(=O)N2CCN(C(=O)C3=CC(OCCCCCCCCCCCC)=C(OCCCCCCCCCCCC)C(OCCCCCCCCCCCC)=C3)CC2)=CC(OCCCCCCCCCCCC)=C1OCCCCCCCCCCCC,41118.0,,C90H162N2O8,1400.258,,C12H25-O-1/2/6Ph4-CO-R33-CO-4Ph1/2/6-O-C12H25,Cr 58.5 D 20 is
60451,60452,CCCCCCCCCCOC1=CC(C(=O)OC2=CC3=C(C=C2)O[V]24(=O)OC5=C(C=C(OC(=O)C6=CC(OCCCCCCCCCC)=C(OCCCCCCCCCC)C(OCCCCCCCCCC)=C6)C=C5)/C=N~2/CCCN~4=C3)=CC(OCCCCCCCCCC)=C1OCCCCCCCCCC,78857.0,,C91H144N2O13V1,1525.064,,C10H21-O-1/2/6Ph4-COO-R692-OOC-4Ph1/2/6-O-C10H21,Cr 85 D 180 is
60452,60453,CCCCCCCCCCCCOC1=CC(C(=O)OC2=CC3=C(C=C2)O[V]24(=O)OC5=C(C=C(OC(=O)C6=CC(OCCCCCCCCCCCC)=C(OCCCCCCCCCCCC)C(OCCCCCCCCCCCC)=C6)C=C5)/C=N~2/CCCN~4=C3)=CC(OCCCCCCCCCCCC)=C1OCCCCCCCCCCCC,78858.0,,C103H168N2O13V1,1693.383,,C12H25-O-1/2/6Ph4-COO-R692-OOC-4Ph1/2/6-O-C12H25,Cr 68 D 182.2 is
60453,60454,CCCCCCCCCCCCCCOC1=CC(C(=O)OC2=CC3=C(C=C2)O[V]24(=O)OC5=C(C=C(OC(=O)C6=CC(OCCCCCCCCCCCCCC)=C(OCCCCCCCCCCCCCC)C(OCCCCCCCCCCCCCC)=C6)C=C5)/C=N~2/CCCN~4=C3)=CC(OCCCCCCCCCCCCCC)=C1OCCCCCCCCCCCCCC,78859.0,,C115H192N2O13V1,1861.702,,C14H29-O-1/2/6Ph4-COO-R692-OOC-4Ph1/2/6-O-C14H29,Cr 82 D 187.9 is
61419,61420,O=C(O)C1=CC(OCCCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)=C(OCCCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C=C1,112301.0,,C39H36F34O4,1214.646,,C8F17-C8H16-O-1/2Ph4-COOH,Cr 98 D 124.5 is
61420,61421,O=C(O)C1=CC(OCCCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)=C(OCCCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C=C1,112302.0,,C43H36F42O4,1414.676,,C10F21-C8H16-O-1/2Ph4-COOH,Cr 117.5 D 151 is
61423,61424,O=C(O)C1=CC(OCCCCCCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)=C(OCCCCCCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C=C1,78868.0,,C49H48F42O4,1498.836,,C10F21-C11H22-O-1/2Ph4-COOH,Cr 128 D 161 is
61455,61456,O=C(O)C1=CC(OCCCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)=C(OCCCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(OCCCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)=C1,78869.0,,C49H51F39O5,1460.864,,C6F13-C8H16-O-1/2/6Ph4-COOH,Cr 55 D 76 is
61456,61457,O=C(O)C1=CC(OCCCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)=C(OCCCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(OCCCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)=C1,78870.0,,C55H51F51O5,1760.909,,C8F17-C8H16-O-1/2/6Ph4-COOH,Cr 87 D 103 is
61457,61458,O=C(O)C1=CC(OCCCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)=C(OCCCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(OCCCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)=C1,78871.0,,C61H51F63O5,2060.954,,C10F21-C8H16-O-1/2/6Ph4-COOH,Cr 114 D 124 is
61458,61459,O=C(O)C1=CC(OCCCCCCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)=C(OCCCCCCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(OCCCCCCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)=C1,78872.0,,C58H69F39O5,1587.103,,C6F13-C11H22-O-1/2/6Ph4-COOH,Cr 62 D 82 is
61459,61460,O=C(O)C1=CC(OCCCCCCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)=C(OCCCCCCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(OCCCCCCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)=C1,78873.0,,C64H69F51O5,1887.148,,C8F17-C11H22-O-1/2/6Ph4-COOH,Cr 83 D 104 is
61460,61461,O=C(O)C1=CC(OCCCCCCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)=C(OCCCCCCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(OCCCCCCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)=C1,78874.0,,C70H69F63O5,2187.193,,C10F21-C11H22-O-1/2/6Ph4-COOH,Cr 106 D 126 is
62908,62909,CCCCCCCCCCCCOC1=CC=C(COC2=CC(C(=O)O)=CC(OCC3=CC=C(OCCCCCCCCCCCC)C=C3)=C2OCC2=CC=C(OCCCCCCCCCCCC)C=C2)C=C1,43205.0,110934-58-2,C64H96O8,993.442,"3,4,5-Tris-(4-dodecyloxy-benzyloxy)-benzoicacid",C12H25-O-Ph-CH2-O-1/2/6Ph4-COOH,Cr 73 D 147 is
65768,65769,CCCCCCCCC(O)(CCCCCCCC)[C@H]1OC(O)[C@H](O)[C@@H](O)[C@H]1O,46445.0,,C22H44O6,404.581,,"Galactose-6-OH-6,6-(di)-C8H17",Cr 116 D 166 is
65769,65770,CCCCCCCCCCC(O)(CCCCCCCCCC)[C@H]1OC(O)[C@H](O)[C@@H](O)[C@H]1O,46446.0,,C26H52O6,460.687,,"Galactose-6-OH-6,6-(di)-C10H21",Cr 117 D 162 is
65770,65771,CCCCCCCCCCCCC(O)(CCCCCCCCCCCC)[C@H]1OC(O)[C@H](O)[C@@H](O)[C@H]1O,46447.0,,C30H60O6,516.794,,"Galactose-6-OH-6,6-(di)-C12H25",Cr 114 D 167 is
