,index,smiles,comp.ID,CAS-RN,formula,mass,name,line,phases
340,341,CCCCCCCCCCCCCCCCCCOC1=CC(C(N)=O)=CC(OCCCCCCCCCCCCCCCCCC)=C1OCCCCCCCCCCCCCCCCCC,76787.0,,C61H115N1O4,926.57,,C18H37-O-1/2/6Ph4-CONH,(53) Cr 93 D 67.7 is
342,343,CCCCCCOC1=CC(N#C~[Cu]Cl)=CC(OCCCCCC)=C1OCCCCCC,80743.0,,C25H41Cl1Cu1N1O3,502.597,,C6H13-O-1/2/6Ph4-NC-Cu-Cl,Cr ? Dh 104.9 is
343,344,CCCCCCCCOC1=CC(N#C~[Cu]Cl)=CC(OCCCCCCCC)=C1OCCCCCCCC,80744.0,,C31H53Cl1Cu1N1O3,586.756,,C8H17-O-1/2/6Ph4-NC-Cu-Cl,Tg 3.4 Dh 83.6 is
344,345,CCCCCCCCCCOC1=CC(N#C~[Cu]Cl)=CC(OCCCCCCCCCC)=C1OCCCCCCCCCC,80745.0,,C37H65Cl1Cu1N1O3,670.916,,C10H21-O-1/2/6Ph4-NC-Cu-Cl,Tg 9 Dh 75.3 is
345,346,CCCCCCCCCCCCOC1=CC(N#C~[Cu]Cl)=CC(OCCCCCCCCCCCC)=C1OCCCCCCCCCCCC,80746.0,,C43H77Cl1Cu1N1O3,755.075,,C12H25-O-1/2/6Ph4-NC-Cu-Cl,Cr 18.1 Dh 93.8 is
1222,1223,CCOC(=O)C1=CC=C2C3=C1/C(C(=O)OCC)=C\C=C/3C1=CC=C(C(=O)OCC)C3=C1/C2=C\C=C/3C(=O)OCC,84430.0,,C32H28O8,540.56,,C2H5-OOC-R1456-COO-C2H5,Cr 244 Dh 313 is
1223,1224,CCCOC(=O)C1=CC=C2C3=C1/C(C(=O)OCCC)=C\C=C/3C1=CC=C(C(=O)OCCC)C3=C1/C2=C\C=C/3C(=O)OCCC,84431.0,,C36H36O8,596.666,,C3H7-OOC-R1456-COO-C3H7,Cr 193 Dh 287 is
1224,1225,CCCCOC(=O)C1=CC=C2C3=C1/C(C(=O)OCCCC)=C\C=C/3C1=CC=C(C(=O)OCCCC)C3=C1/C2=C\C=C/3C(=O)OCCCC,70592.0,,C40H44O8,652.773,"Perylene-3,4,9,10-tetracarboxylicacidtetrabutylester",C4H9-OOC-R1456-COO-C4H9,Cr 161 Dh 242 is
1225,1226,CCCCCOC(=O)C1=CC=C2C3=C1/C(C(=O)OCCCCC)=C\C=C/3C1=CC=C(C(=O)OCCCCC)C3=C1/C2=C\C=C/3C(=O)OCCCCC,70593.0,,C44H52O8,708.879,"Perylene-3,4,9,10-tetracarboxylicacidtetrapentylester",C5H11-OOC-R1456-COO-C5H11,Cr 114 Dh 203 is
1226,1227,CCCCCCOC(=O)C1=CC=C2C3=C1/C(C(=O)OCCCCCC)=C\C=C/3C1=CC=C(C(=O)OCCCCCC)C3=C1/C2=C\C=C/3C(=O)OCCCCCC,84432.0,,C48H60O8,764.985,,C6H13-OOC-R1456-COO-C6H13,Cr 72 Dh 177 is
1227,1228,CCCCCCCOC(=O)C1=CC=C2C3=C1/C(C(=O)OCCCCCCC)=C\C=C/3C1=CC=C(C(=O)OCCCCCCC)C3=C1/C2=C\C=C/3C(=O)OCCCCCCC,70594.0,,C52H68O8,821.092,"Perylene-3,4,9,10-tetracarboxylicacidtetraheptylester",C7H15-OOC-R1456-COO-C7H15,Cr 63 Dh 152 is
1228,1229,CCCCCCCCOC(=O)C1=CC=C2C3=C1/C(C(=O)OCCCCCCCC)=C\C=C/3C1=CC=C(C(=O)OCCCCCCCC)C3=C1/C2=C\C=C/3C(=O)OCCCCCCCC,84433.0,,C56H76O8,877.198,,C8H17-OOC-R1456-COO-C8H17,Cr 62 Dh 132 is
1229,1230,CCCCCCCCCOC(=O)C1=CC=C2C3=C1/C(C(=O)OCCCCCCCCC)=C\C=C/3C1=CC=C(C(=O)OCCCCCCCCC)C3=C1/C2=C\C=C/3C(=O)OCCCCCCCCC,84434.0,,C60H84O8,933.304,,C9H19-OOC-R1456-COO-C9H19,Cr' 44 Cr 60 Dh 100 is
1267,1268,CCCCCC1=S~[Ni]2(S1)SC(CCCCC)=S~2,65269.0,,C12H22Ni1S4,353.256,,C5H11-R646-C5H11,Cr 79 D 43.1 is
1268,1269,CCCCC(CC)C1=S~[Ni]2(S1)SC(C(CC)CCCC)=S~2,65270.0,,C16H30Ni1S4,409.363,,C2H5-/-C2H4)CH-R646-CH(C2H4-/-C2H5,Cr' 64 Cr 124 Dhd 151 is
9914,9915,CCCCOC1=CC=C(N2=CC3=CC=C(OCC)C=C3O[Cu]~23OC2=C\C(OCC)=C/C=C\2C=N~3C2=CC=C(OCCCC)C=C2)C=C1,6599.0,,C38H44Cu1N2O6,688.312,,C2H5-O-SchiffCu-Ph-O-C4H9,Cr 165 D 170 is
9917,9918,CCCCCOC1=CC=C(N2=CC3=CC=C(OCC)C=C3O[Cu]~23OC2=C\C(OCC)=C/C=C\2C=N~3C2=CC=C(OCCCCC)C=C2)C=C1,6602.0,,C40H48Cu1N2O6,716.365,,C2H5-O-SchiffCu-Ph-O-C5H11,Cr' 136.3 Cr 155.2 D 174.1 is
9920,9921,CCCCCCOC1=CC=C(N2=CC3=CC=C(OCC)C=C3O[Cu]~23OC2=C\C(OCC)=C/C=C\2C=N~3C2=CC=C(OCCCCCC)C=C2)C=C1,6605.0,,C42H52Cu1N2O6,744.418,,C2H5-O-SchiffCu-Ph-O-C6H13,Cr 148.9 D 179 is
9925,9926,CCCCCCCOC1=CC=C(N2=CC3=CC=C(OCC)C=C3O[Cu]~23OC2=C\C(OCC)=C/C=C\2C=N~3C2=CC=C(OCCCCCCC)C=C2)C=C1,6609.0,,C44H56Cu1N2O6,772.471,,C2H5-O-SchiffCu-Ph-O-C7H15,Cr 135.6 D 170.8 is
9928,9929,CCCCCCCCOC1=CC=C(N2=CC3=CC=C(OCC)C=C3O[Cu]~23OC2=C\C(OCC)=C/C=C\2C=N~3C2=CC=C(OCCCCCCCC)C=C2)C=C1,6612.0,,C46H60Cu1N2O6,800.524,,C2H5-O-SchiffCu-Ph-O-C8H17,Cr 131.7 D 179.1 is
11272,11273,CCCCCCCCOC1=CC=C2/C=N(/C3=CC(OCCCCCCCC)=C(OCCCCCCCC)C=C3)~[Cu]3(OC2=C1)OC1=CC(OCCCCCCCC)=CC=C1/C=N~3/C1=CC(OCCCCCCCC)=C(OCCCCCCCC)C=C1,79511.0,,C74H116Cu1N2O8,1225.267,,C8H17-O-1/2Ph4-CuSchiff-O-C8H17,(133) Cr' 163.2 Cr 178.9 Dhd 325.5 is
11273,11274,CCCCCCCCCCOC1=CC=C2/C=N(/C3=CC(OCCCCCCCCCC)=C(OCCCCCCCCCC)C=C3)~[Cu]3(OC2=C1)OC1=CC(OCCCCCCCCCC)=CC=C1/C=N~3/C1=CC(OCCCCCCCCCC)=C(OCCCCCCCCCC)C=C1,79512.0,,C86H140Cu1N2O8,1393.586,,C10H21-O-1/2Ph4-CuSchiff-O-C10H21,(133) Cr' 152.4 Cr 165.7 Dhd 313 is
11274,11275,CCCCCCCCCCCCOC1=CC=C2/C=N(/C3=CC(OCCCCCCCCCCCC)=C(OCCCCCCCCCCCC)C=C3)~[Cu]3(OC2=C1)OC1=CC(OCCCCCCCCCCCC)=CC=C1/C=N~3/C1=CC(OCCCCCCCCCCCC)=C(OCCCCCCCCCCCC)C=C1,79513.0,,C98H164Cu1N2O8,1561.905,,C12H25-O-1/2Ph4-CuSchiff-O-C12H25,(114) Cr 142.7 Dhd 292.6 is
11275,11276,CCCCCCCCCCCCCCOC1=CC=C2/C=N(/C3=CC(OCCCCCCCCCCCCCC)=C(OCCCCCCCCCCCCCC)C=C3)~[Cu]3(OC2=C1)OC1=CC(OCCCCCCCCCCCCCC)=CC=C1/C=N~3/C1=CC(OCCCCCCCCCCCCCC)=C(OCCCCCCCCCCCCCC)C=C1,79514.0,,C110H188Cu1N2O8,1730.224,,C14H29-O-1/2Ph4-CuSchiff-O-C14H29,(107) Cr 139.4 Dhd 271.7 is
11276,11277,CCCCCCCCCCCCCCCCOC1=CC=C2/C=N(/C3=CC(OCCCCCCCCCCCCCCCC)=C(OCCCCCCCCCCCCCCCC)C=C3)~[Cu]3(OC2=C1)OC1=CC(OCCCCCCCCCCCCCCCC)=CC=C1/C=N~3/C1=CC(OCCCCCCCCCCCCCCCC)=C(OCCCCCCCCCCCCCCCC)C=C1,79515.0,,C122H212Cu1N2O8,1898.543,,C16H33-O-1/2Ph4-CuSchiff-O-C16H33,(106) Cr 135.7 Dhd 252.7 is
11277,11278,CCCCCCCCCCOC1=CC(C2=NN=C(C3=CC(OCCCCCCCCCC)=C(OCCCCCCCCCC)C(OCCCCCCCCCC)=C3)N2CCCCCC)=CC(OCCCCCCCCCC)=C1OCCCCCCCCCC,80709.0,,C80H143N3O6,1243.008,,C10H21-O-1/2/6Ph4-R2078-C6H13,Cr ? Dhd 62.8 is
11278,11279,CCCCCCCCCCCCON1C(C2=CC(OCCCCCCCCCC)=C(OCCCCCCCCCC)C(OCCCCCCCCCC)=C2)=NN=C1C1=CC(OCCCCCCCCCC)=C(OCCCCCCCCCC)C(OCCCCCCCCCC)=C1,80710.0,,C86H155N3O7,1343.167,,C10H21-O-1/2/6Ph4-R2078-O-C12H25,Cr ? Dhd 71.2 is
25044,25045,CCCCCCCCCCCCOC1=CC=C(COC2=CC(C(=O)OCCO)=CC(OCC3=CC=C(OCCCCCCCCCCCC)C=C3)=C2OCC2=CC=C(OCCCCCCCCCCCC)C=C2)C=C1,70602.0,,C66H100O9,1037.495,"3,4,5-Tris-(4-dodecyloxy-benzyloxy)-benzoicacid2-hydroxy-ethylester",C12H25-O-Ph-CH2-O-1/2/6Ph4-COO-C2H4-O,(25) Cr' 46 Cr' 58 Cr 71 Dh 85 is
25045,25046,CCCCCCCCCCCCOC1=CC=C(COC2=CC(C(=O)OCCOCCO)=CC(OCC3=CC=C(OCCCCCCCCCCCC)C=C3)=C2OCC2=CC=C(OCCCCCCCCCCCC)C=C2)C=C1,70603.0,,C68H104O10,1081.547,"3,4,5-Tris-(4-dodecyloxy-benzyloxy)-benzoicacid2-(2-hydroxy-ethoxy)-ethylester",C12H25-O-Ph-CH2-O-1/2/6Ph4-COO-C2H4-O-C2H4-O,(35) Cr 66 Dh 73 is
25046,25047,CCCCCCCCCCCCOC1=CC=C(COC2=CC(C(=O)OCCOCCOCCO)=CC(OCC3=CC=C(OCCCCCCCCCCCC)C=C3)=C2OCC2=CC=C(OCCCCCCCCCCCC)C=C2)C=C1,70604.0,,C70H108O11,1125.6,"3,4,5-Tris-(4-dodecyloxy-benzyloxy)-benzoicacid2-[2-(2-hydroxy-ethoxy)-ethoxy]-ethylester",C12H25-O-Ph-CH2-O-1/2/6Ph4-COO-C2H4-O-C2H4-O-C2H4-O,(34) Cr 56 Dh 63 is
25047,25048,CCCCCCCCCCCCOC1=CC=C(COC2=CC(C(=O)OCCOCCOCCOCCO)=CC(OCC3=CC=C(OCCCCCCCCCCCC)C=C3)=C2OCC2=CC=C(OCCCCCCCCCCCC)C=C2)C=C1,70605.0,,C72H112O12,1169.653,"3,4,5-Tris-(4-dodecyloxy-benzyloxy)-benzoicacid2-{2-[2-(2-hydroxy-ethoxy)-ethoxy]-ethoxy}-ethylester",C12H25-O-Ph-CH2-O-1/2/6Ph4-COO-C2H4-O-C2H4-O-C2H4-O-C2H4-O,(31) Cr 50 Dh 59 is
30523,30524,CCCCCCCCCCCCOC1=C(OCCCCCCCCCCCC)C=C(/C=N/NC2=C([N+](=O)[O-])C=C([N+](=O)[O-])C=C2)C=C1,21012.0,,C37H58N4O6,654.88,,O2N-PhNO2-NH-N=CH-4Ph1/2-O-C12H25,Cr 130 D 94 is
30524,30525,CCCCCCCCCCCCCCCCOC1=C(OCCCCCCCCCCCCCCCC)C=C(/C=N/NC2=C([N+](=O)[O-])C=C([N+](=O)[O-])C=C2)C=C1,21013.0,,C45H74N4O6,767.092,,O2N-PhNO2-NH-N=CH-4Ph1/2-O-C16H33,Cr 124 D 130 is
30525,30526,CCCCCCCCCCCCCCCCOC1=C(OCCCCCCCCCCCCCCCC)C=C(/C=C/C=N/NC2=C([N+](=O)[O-])C=C([N+](=O)[O-])C=C2)C=C1,21014.0,,C47H76N4O6,793.13,,O2N-PhNO2-NH-N=CH-CH=CH-4Ph1/2-O-C16H33,Cr 115 D 85 is
30553,30554,CCCCCCCCCCOC1=CC(C(=O)NCCNC(=O)C2=CC(OCCCCCCCCCC)=C(OCCCCCCCCCC)C(OCCCCCCCCCC)=C2)=CC(OCCCCCCCCCC)=C1OCCCCCCCCCC,75980.0,,C76H136N2O8,1205.902,,C10H21-O-1/2/6Ph4-CONH-C2H4-NHOC-4Ph1/2/6-O-C10H21,(-9) Cr' 24 Cr 72 Dh 133 is
30554,30555,CCCCCCCCCCCOC1=CC(C(=O)NCCNC(=O)C2=CC(OCCCCCCCCCCC)=C(OCCCCCCCCCCC)C(OCCCCCCCCCCC)=C2)=CC(OCCCCCCCCCCC)=C1OCCCCCCCCCCC,75981.0,,C82H148N2O8,1290.061,,C11H23-O-1/2/6Ph4-CONH-C2H4-NHOC-4Ph1/2/6-O-C11H23,(27) Cr' 16 Cr 38 Dh 131 is
30555,30556,CCCCCCCCCCCCOC1=CC(C(=O)NCCNC(=O)C2=CC(OCCCCCCCCCCCC)=C(OCCCCCCCCCCCC)C(OCCCCCCCCCCCC)=C2)=CC(OCCCCCCCCCCCC)=C1OCCCCCCCCCCCC,75982.0,,C88H160N2O8,1374.221,,C12H25-O-1/2/6Ph4-CONH-C2H4-NHOC-4Ph1/2/6-O-C12H25,(32) Cr' 41 Cr 63 Dh 129 is
30556,30557,CCCCCCCCCCCCCCOC1=CC(C(=O)NCCNC(=O)C2=CC(OCCCCCCCCCCCCCC)=C(OCCCCCCCCCCCCCC)C(OCCCCCCCCCCCCCC)=C2)=CC(OCCCCCCCCCCCCCC)=C1OCCCCCCCCCCCCCC,75983.0,,C100H184N2O8,1542.54,,C14H29-O-1/2/6Ph4-CONH-C2H4-NHOC-4Ph1/2/6-O-C14H29,(44) Cr' 3 Cr' 43 Cr 58 Dh 126 is
30557,30558,CCCCCCCCCCCCCCCCOC1=CC(C(=O)NCCNC(=O)C2=CC(OCCCCCCCCCCCCCCCC)=C(OCCCCCCCCCCCCCCCC)C(OCCCCCCCCCCCCCCCC)=C2)=CC(OCCCCCCCCCCCCCCCC)=C1OCCCCCCCCCCCCCCCC,75984.0,,C112H208N2O8,1710.859,,C16H33-O-1/2/6Ph4-CONH-C2H4-NHOC-4Ph1/2/6-O-C16H33,(54) Cr' 72 Cr 84 Dh 123 is
30558,30559,CCCCCCCCCCCCCCCCCCOC1=CC(C(=O)NCCNC(=O)C2=CC(OCCCCCCCCCCCCCCCCCC)=C(OCCCCCCCCCCCCCCCCCC)C(OCCCCCCCCCCCCCCCCCC)=C2)=CC(OCCCCCCCCCCCCCCCCCC)=C1OCCCCCCCCCCCCCCCCCC,75985.0,,C124H232N2O8,1879.178,,C18H37-O-1/2/6Ph4-CONH-C2H4-NHOC-4Ph1/2/6-O-C18H37,(64) Cr' 55 Cr' 72 Cr 80 Dh 119 is
30560,30561,CCCCCCCCCCCCOC1=CC(C#N~[Pd](Cl)(Cl)~N#CC2=CC(OCCCCCCCCCCCC)=C(OCCCCCCCCCCCC)C(OCCCCCCCCCCCC)=C2)=CC(OCCCCCCCCCCCC)=C1OCCCCCCCCCCCC,76788.0,,C86H154Cl2N2O6Pd1,1489.459,,C12H25-O-1/2/6Ph4-CN-PdCl2-NC-4Ph1/2/6-O-C12H25,(67) Cr 73.3 D 91.2 is
30561,30562,CCCCCCCCCCCCCCCCCCOC1=CC(C#N~[Pd](Cl)(Cl)~N#CC2=CC(OCCCCCCCCCCCCCCCCCC)=C(OCCCCCCCCCCCCCCCCCC)C(OCCCCCCCCCCCCCCCCCC)=C2)=CC(OCCCCCCCCCCCCCCCCCC)=C1OCCCCCCCCCCCCCCCCCC,76789.0,,C122H226Cl2N2O6Pd1,1994.416,,C18H37-O-1/2/6Ph4-CN-PdCl2-NC-4Ph1/2/6-O-C18H37,(44) Cr 58.4 D 80.4 is
30562,30563,CCCCCCCCOC1=CC(/C=N/NC2=C([N+](=O)[O-])C=C([N+](=O)[O-])C=C2)=CC(OCCCCCCCC)=C1OCCCCCCCC,21016.0,,C37H58N4O7,670.879,,O2N-PhNO2-NH-N=CH-4Ph1/2/6-O-C8H17,Cr 96 D 136 is
30563,30564,CCCCCCCCCCCCOC1=CC(/C=N/NC2=C([N+](=O)[O-])C=C([N+](=O)[O-])C=C2)=CC(OCCCCCCCCCCCC)=C1OCCCCCCCCCCCC,21017.0,,C49H82N4O7,839.198,,O2N-PhNO2-NH-N=CH-4Ph1/2/6-O-C12H25,Cr 97 D 137 is
30564,30565,CCCCCCCCCCCCCCCCOC1=CC(/C=N/NC2=C([N+](=O)[O-])C=C([N+](=O)[O-])C=C2)=CC(OCCCCCCCCCCCCCCCC)=C1OCCCCCCCCCCCCCCCC,21018.0,,C61H106N4O7,1007.517,,O2N-PhNO2-NH-N=CH-4Ph1/2/6-O-C16H33,Cr 106 D 134 is
31298,31299,CCCCCCCCC1=CC=C2/C=C(C#CC3=C/C4=C/C=C(CCCCCCCC)\C=C/C4=C3)\C=C/2C=C1,112100.0,,C38H46,502.772,,C8H17-R1251-C:::C-R1250-C8H17,Cr' 44 Cr 118.8 Dro 146.1 E 159.4 N 215 dec
35011,35012,CCCCCCCCCCCCCCCCC1=CC=C(C2=CC=C(C3=O~[Cu]4(OC(C)=C3)OC(C)=CC(C3=CC=C(C5=CC=C(CCCCCCCCCCCCCCCC)C=C5)C=C3)=O~4)C=C2)C=C1,24045.0,,C64H90Cu1O4,986.943,,C16H33-Ph-Ph-R601-CH3,Cr 129.5 Dro 172.5 is
35018,35019,CCCCCCCCCOC1=CC=C(C2=CC=C(C3=O~[Cu]4(OC(C)=C3)OC(C)=CC(C3=CC=C(C5=CC=C(OCCCCCCCCC)C=C5)C=C3)=O~4)C=C2)C=C1,63328.0,,C50H62Cu1O6,822.57,,C9H19-O-Ph-Ph-R601-CH3,Cr' ? Cr' ? Cr 193 Dro 213.2 is
35019,35020,CCCCCCCCCCOC1=CC=C(C2=CC=C(C3=O~[Cu]4(OC(C)=C3)OC(C)=CC(C3=CC=C(C5=CC=C(OCCCCCCCCCC)C=C5)C=C3)=O~4)C=C2)C=C1,63329.0,,C52H66Cu1O6,850.623,,C10H21-O-Ph-Ph-R601-CH3,Cr' ? Cr' ? Cr 161.4 Dro 211.8 is
35023,35024,CCCCCCCCCCCCOC1=CC=C(C2=CC=C(C3=O~[Cu]4(OC(C)=C3)OC(C)=CC(C3=CC=C(C5=CC=C(OCCCCCCCCCCCC)C=C5)C=C3)=O~4)C=C2)C=C1,61589.0,,C56H74Cu1O6,906.729,,C12H25-O-Ph-Ph-R601-CH3,Cr' ? Cr' ? Cr 135.1 Dro 208.8 is
35029,35030,CCCCCCCCCCCCCCCCOC1=CC=C(C2=CC=C(C3=O~[Cu]4(OC(C)=C3)OC(C)=CC(C3=CC=C(C5=CC=C(OCCCCCCCCCCCCCCCC)C=C5)C=C3)=O~4)C=C2)C=C1,62905.0,,C64H90Cu1O6,1018.942,,C16H33-O-Ph-Ph-R601-CH3,Cr 127 Dro 199.9 is
35030,35031,CCCCCCCCCCCCCCCCCCOC1=CC=C(C2=CC=C(C3=O~[Cu]4(OC(C)=C3)OC(C)=CC(C3=CC=C(C5=CC=C(OCCCCCCCCCCCCCCCCCC)C=C5)C=C3)=O~4)C=C2)C=C1,63331.0,,C68H98Cu1O6,1075.048,,C18H37-O-Ph-Ph-R601-CH3,Cr 130.9 Dro 196.5 is
35740,35741,CCCCCCCCCCOC1=CC(C2=NN=C(C3=CC(OCCCCCCCCCC)=C(OCCCCCCCCCC)C(OCCCCCCCCCC)=C3)N2C2=CC=CC=C2)=CC(OCCCCCCCCCC)=C1OCCCCCCCCCC,80707.0,,C80H135N3O6,1234.944,,C10H21-O-1/2/6Ph4-R2078-Ph,Cr ? Dhd 80.1 is
35741,35742,CCCCCCCCCCOC1=CC(C2=NN=C(C3=CC(OCCCCCCCCCC)=C(OCCCCCCCCCC)C(OCCCCCCCCCC)=C3)N2C2=CC=C(OC)C=C2)=CC(OCCCCCCCCCC)=C1OCCCCCCCCCC,80708.0,,C81H137N3O7,1264.97,,C10H21-O-1/2/6Ph4-R2078-Ph-O-CH3,Cr ? Dhd 99.9 is
35743,35744,CCCCCCOC1=CC(C2=O~[Cu]3(OC(C4=CC=C(OC(C)CCCCCC)C=C4)=C2)OC(C2=CC=C(OC(C)CCCCCC)C=C2)=CC(C2=CC(OCCCCCC)=C(OCCCCCC)C(OCCCCCC)=C2)=O~3)=CC(OCCCCCC)=C1OCCCCCC,111388.0,,C82H126Cu1O12,1367.417,,C6H13-O-1/2/6Ph4-R601-Ph-O-CHMe-C6H13,Cr 73.1 Dhd 82.2 is
35744,35745,CCCCCCCOC1=CC(C2=O~[Cu]3(OC(C4=CC=C(OC(C)CCCCCC)C=C4)=C2)OC(C2=CC=C(OC(C)CCCCCC)C=C2)=CC(C2=CC(OCCCCCCC)=C(OCCCCCCC)C(OCCCCCCC)=C2)=O~3)=CC(OCCCCCCC)=C1OCCCCCCC,111389.0,,C88H138Cu1O12,1451.576,,C7H15-O-1/2/6Ph4-R601-Ph-O-CHMe-C6H13,(33) Cr 78.1 Dhd 50 is
35745,35746,CCCCCCCCOC1=CC(C2=O~[Cu]3(OC(C4=CC=C(OC(C)CCCCCC)C=C4)=C2)OC(C2=CC=C(OC(C)CCCCCC)C=C2)=CC(C2=CC(OCCCCCCCC)=C(OCCCCCCCC)C(OCCCCCCCC)=C2)=O~3)=CC(OCCCCCCCC)=C1OCCCCCCCC,111390.0,,C94H150Cu1O12,1535.736,,C8H17-O-1/2/6Ph4-R601-Ph-O-CHMe-C6H13,Cr 48.5 Dhd 68.3 is
35746,35747,CCCCCCCCCCCCOC1=CC(C2=O~[Cu]3(OC(C4=CC=C(OC(C)CCCCCC)C=C4)=C2)OC(C2=CC=C(OC(C)CCCCCC)C=C2)=CC(C2=CC(OCCCCCCCCCCCC)=C(OCCCCCCCCCCCC)C(OCCCCCCCCCCCC)=C2)=O~3)=CC(OCCCCCCCCCCCC)=C1OCCCCCCCCCCCC,111391.0,,C118H198Cu1O12,1872.374,,C12H25-O-1/2/6Ph4-R601-Ph-O-CHMe-C6H13,Cr 62.9 Dhd 68.3 is
